D1,D2,D3,DESC,IP,PORT,SERVER,MPACK
SZH,BI,P,SZH -> BI-P,91.146.176.100,8443,lussza.tiszk.local,Default Management Pack
SZH,VP,P,SZH -> VP-P,193.227.196.187,443,lussza.tiszk.local,Default Management Pack
SZH,VSZT,P,SZH -> VSZT-P,91.146.176.36,8291,lussza.tiszk.local,Default Management Pack
SZH,JM,P,SZH -> JM-P,91.146.164.176,8443,lussza.tiszk.local,Default Management Pack
SZH,EUSZT,P,SZH -> EUSZT-P,91.146.176.93,8443,lussza.tiszk.local,Default Management Pack
SZH,PM,P,SZH -> PM-P,193.227.196.178,8443,lussza.tiszk.local,Default Management Pack
SZH,SZH,P,SZH -> SZH-P,91.146.167.246,8443,lussza.tiszk.local,Default Management Pack
SZH,BI,L,SZH -> BI-L,192.168.6.1,8443,lussza.tiszk.local,Default Management Pack
SZH,VP,L,SZH -> VP-L,192.168.10.2,443,lussza.tiszk.local,Default Management Pack
SZH,VSZT,L,SZH -> VSZT-L,192.168.4.254,8291,lussza.tiszk.local,Default Management Pack
SZH,JM,L,SZH -> JM-L,192.168.9.254,8443,lussza.tiszk.local,Default Management Pack
SZH,EUSZT,L,SZH -> EUSZT-L,192.168.5.254,8443,lussza.tiszk.local,Default Management Pack
SZH,PM,L,SZH -> PM-L,192.168.8.3,8443,lussza.tiszk.local,Default Management Pack
SZH,SZH,L,SZH -> SZH-L,192.168.0.100,8443,lussza.tiszk.local,Default Management Pack
VSZT41,BI,P,VSZT41 -> BI-P,91.146.176.100,8443,szerver41.tiszk.local,Default Management Pack
VSZT41,VP,P,VSZT41 -> VP-P,193.227.196.187,443,szerver41.tiszk.local,Default Management Pack
VSZT41,VSZT,P,VSZT41 -> VSZT-P,91.146.176.36,8291,szerver41.tiszk.local,Default Management Pack
VSZT41,JM,P,VSZT41 -> JM-P,91.146.164.176,8443,szerver41.tiszk.local,Default Management Pack
VSZT41,EUSZT,P,VSZT41 -> EUSZT-P,91.146.176.93,8443,szerver41.tiszk.local,Default Management Pack
VSZT41,PM,P,VSZT41 -> PM-P,193.227.196.178,8443,szerver41.tiszk.local,Default Management Pack
VSZT41,SZH,P,VSZT41 -> SZH-P,91.146.167.246,8443,szerver41.tiszk.local,Default Management Pack
VSZT41,BI,L,VSZT41 -> BI-L,192.168.6.1,8443,szerver41.tiszk.local,Default Management Pack
VSZT41,VP,L,VSZT41 -> VP-L,192.168.10.2,443,szerver41.tiszk.local,Default Management Pack
VSZT41,VSZT,L,VSZT41 -> VSZT-L,192.168.4.254,8291,szerver41.tiszk.local,Default Management Pack
VSZT41,JM,L,VSZT41 -> JM-L,192.168.9.254,8443,szerver41.tiszk.local,Default Management Pack
VSZT41,EUSZT,L,VSZT41 -> EUSZT-L,192.168.5.254,8443,szerver41.tiszk.local,Default Management Pack
VSZT41,PM,L,VSZT41 -> PM-L,192.168.8.3,8443,szerver41.tiszk.local,Default Management Pack
VSZT41,SZH,L,VSZT41 -> SZH-L,192.168.0.100,8443,szerver41.tiszk.local,Default Management Pack
VP1056,BI,P,VP1056 -> BI-P,91.146.176.100,8443,szerver1056.tiszk.local,Default Management Pack
VP1056,VP,P,VP1056 -> VP-P,193.227.196.187,443,szerver1056.tiszk.local,Default Management Pack
VP1056,VSZT,P,VP1056 -> VSZT-P,91.146.176.36,8291,szerver1056.tiszk.local,Default Management Pack
VP1056,JM,P,VP1056 -> JM-P,91.146.164.176,8443,szerver1056.tiszk.local,Default Management Pack
VP1056,EUSZT,P,VP1056 -> EUSZT-P,91.146.176.93,8443,szerver1056.tiszk.local,Default Management Pack
VP1056,PM,P,VP1056 -> PM-P,193.227.196.178,8443,szerver1056.tiszk.local,Default Management Pack
VP1056,SZH,P,VP1056 -> SZH-P,91.146.167.246,8443,szerver1056.tiszk.local,Default Management Pack
VP1056,BI,L,VP1056 -> BI-L,192.168.6.1,8443,szerver1056.tiszk.local,Default Management Pack
VP1056,VP,L,VP1056 -> VP-L,192.168.10.2,443,szerver1056.tiszk.local,Default Management Pack
VP1056,VSZT,L,VP1056 -> VSZT-L,192.168.4.254,8291,szerver1056.tiszk.local,Default Management Pack
VP1056,JM,L,VP1056 -> JM-L,192.168.9.254,8443,szerver1056.tiszk.local,Default Management Pack
VP1056,EUSZT,L,VP1056 -> EUSZT-L,192.168.5.254,8443,szerver1056.tiszk.local,Default Management Pack
VP1056,PM,L,VP1056 -> PM-L,192.168.8.3,8443,szerver1056.tiszk.local,Default Management Pack
VP1056,SZH,L,VP1056 -> SZH-L,192.168.0.100,8443,szerver1056.tiszk.local,Default Management Pack
JM91,BI,P,JM91 -> BI-P,91.146.176.100,8443,szerver91.tiszk.local,Default Management Pack
JM91,VP,P,JM91 -> VP-P,193.227.196.187,443,szerver91.tiszk.local,Default Management Pack
JM91,VSZT,P,JM91 -> VSZT-P,91.146.176.36,8291,szerver91.tiszk.local,Default Management Pack
JM91,JM,P,JM91 -> JM-P,91.146.164.176,8443,szerver91.tiszk.local,Default Management Pack
JM91,EUSZT,P,JM91 -> EUSZT-P,91.146.176.93,8443,szerver91.tiszk.local,Default Management Pack
JM91,PM,P,JM91 -> PM-P,193.227.196.178,8443,szerver91.tiszk.local,Default Management Pack
JM91,SZH,P,JM91 -> SZH-P,91.146.167.246,8443,szerver91.tiszk.local,Default Management Pack
JM91,BI,L,JM91 -> BI-L,192.168.6.1,8443,szerver91.tiszk.local,Default Management Pack
JM91,VP,L,JM91 -> VP-L,192.168.10.2,443,szerver91.tiszk.local,Default Management Pack
JM91,VSZT,L,JM91 -> VSZT-L,192.168.4.254,8291,szerver91.tiszk.local,Default Management Pack
JM91,JM,L,JM91 -> JM-L,192.168.9.254,8443,szerver91.tiszk.local,Default Management Pack
JM91,EUSZT,L,JM91 -> EUSZT-L,192.168.5.254,8443,szerver91.tiszk.local,Default Management Pack
JM91,PM,L,JM91 -> PM-L,192.168.8.3,8443,szerver91.tiszk.local,Default Management Pack
JM91,SZH,L,JM91 -> SZH-L,192.168.0.100,8443,szerver91.tiszk.local,Default Management Pack
PM81,BI,P,PM81 -> BI-P,91.146.176.100,8443,szerver81.tiszk.local,Default Management Pack
PM81,VP,P,PM81 -> VP-P,193.227.196.187,443,szerver81.tiszk.local,Default Management Pack
PM81,VSZT,P,PM81 -> VSZT-P,91.146.176.36,8291,szerver81.tiszk.local,Default Management Pack
PM81,JM,P,PM81 -> JM-P,91.146.164.176,8443,szerver81.tiszk.local,Default Management Pack
PM81,EUSZT,P,PM81 -> EUSZT-P,91.146.176.93,8443,szerver81.tiszk.local,Default Management Pack
PM81,PM,P,PM81 -> PM-P,193.227.196.178,8443,szerver81.tiszk.local,Default Management Pack
PM81,SZH,P,PM81 -> SZH-P,91.146.167.246,8443,szerver81.tiszk.local,Default Management Pack
PM81,BI,L,PM81 -> BI-L,192.168.6.1,8443,szerver81.tiszk.local,Default Management Pack
PM81,VP,L,PM81 -> VP-L,192.168.10.2,443,szerver81.tiszk.local,Default Management Pack
PM81,VSZT,L,PM81 -> VSZT-L,192.168.4.254,8291,szerver81.tiszk.local,Default Management Pack
PM81,JM,L,PM81 -> JM-L,192.168.9.254,8443,szerver81.tiszk.local,Default Management Pack
PM81,EUSZT,L,PM81 -> EUSZT-L,192.168.5.254,8443,szerver81.tiszk.local,Default Management Pack
PM81,PM,L,PM81 -> PM-L,192.168.8.3,8443,szerver81.tiszk.local,Default Management Pack
PM81,SZH,L,PM81 -> SZH-L,192.168.0.100,8443,szerver81.tiszk.local,Default Management Pack
BI61,BI,P,BI61 -> BI-P,91.146.176.100,8443,szerver61.tiszk.local,Default Management Pack
BI61,VP,P,BI61 -> VP-P,193.227.196.187,443,szerver61.tiszk.local,Default Management Pack
BI61,VSZT,P,BI61 -> VSZT-P,91.146.176.36,8291,szerver61.tiszk.local,Default Management Pack
BI61,JM,P,BI61 -> JM-P,91.146.164.176,8443,szerver61.tiszk.local,Default Management Pack
BI61,EUSZT,P,BI61 -> EUSZT-P,91.146.176.93,8443,szerver61.tiszk.local,Default Management Pack
BI61,PM,P,BI61 -> PM-P,193.227.196.178,8443,szerver61.tiszk.local,Default Management Pack
BI61,SZH,P,BI61 -> SZH-P,91.146.167.246,8443,szerver61.tiszk.local,Default Management Pack
BI61,BI,L,BI61 -> BI-L,192.168.6.1,8443,szerver61.tiszk.local,Default Management Pack
BI61,VP,L,BI61 -> VP-L,192.168.10.2,443,szerver61.tiszk.local,Default Management Pack
BI61,VSZT,L,BI61 -> VSZT-L,192.168.4.254,8291,szerver61.tiszk.local,Default Management Pack
BI61,JM,L,BI61 -> JM-L,192.168.9.254,8443,szerver61.tiszk.local,Default Management Pack
BI61,EUSZT,L,BI61 -> EUSZT-L,192.168.5.254,8443,szerver61.tiszk.local,Default Management Pack
BI61,PM,L,BI61 -> PM-L,192.168.8.3,8443,szerver61.tiszk.local,Default Management Pack
BI61,SZH,L,BI61 -> SZH-L,192.168.0.100,8443,szerver61.tiszk.local,Default Management Pack
EUSZT51,BI,P,EUSZT51 -> BI-P,91.146.176.100,8443,szerver51.tiszk.local,Default Management Pack
EUSZT51,VP,P,EUSZT51 -> VP-P,193.227.196.187,443,szerver51.tiszk.local,Default Management Pack
EUSZT51,VSZT,P,EUSZT51 -> VSZT-P,91.146.176.36,8291,szerver51.tiszk.local,Default Management Pack
EUSZT51,JM,P,EUSZT51 -> JM-P,91.146.164.176,8443,szerver51.tiszk.local,Default Management Pack
EUSZT51,EUSZT,P,EUSZT51 -> EUSZT-P,91.146.176.93,8443,szerver51.tiszk.local,Default Management Pack
EUSZT51,PM,P,EUSZT51 -> PM-P,193.227.196.178,8443,szerver51.tiszk.local,Default Management Pack
EUSZT51,SZH,P,EUSZT51 -> SZH-P,91.146.167.246,8443,szerver51.tiszk.local,Default Management Pack
